User ID,Date,Description,Amount,Transaction_Type,Category,Account Name
2.0,1/1/2018,Amazon,11.11,debit,Shopping,Platinum Card
1.0,1/2/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
3.0,1/2/2018,Thai Restaurant,24.22,debit,Restaurants,Silver Card
2.0,1/3/2018,Credit Card Payment,2298.09,credit,Credit Card Payment,Platinum Card
2.0,1/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card
3.0,1/5/2018,American Tavern,25.85,debit,Restaurants,Silver Card
3.0,1/6/2018,Hardware Store,18.45,debit,Home Improvement,Silver Card
1.0,1/8/2018,Gas Company,45.0,debit,Utilities,Checking
3.0,1/8/2018,Hardware Store,15.38,debit,Home Improvement,Silver Card
2.0,1/9/2018,Spotify,10.69,debit,Music,Platinum Card
1.0,1/10/2018,Phone Company,89.46,debit,Mobile Phone,Checking
2.0,1/11/2018,Shell,34.87,debit,Gas & Fuel,Platinum Card
2.0,1/11/2018,Grocery Store,43.54,debit,Groceries,Platinum Card
1.0,1/12/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2.0,1/13/2018,Pizza Place,32.91,debit,Fast Food,Platinum Card
2.0,1/13/2018,Amazon,39.05,debit,Shopping,Platinum Card
3.0,1/15/2018,Whole Foods Market,44.19,debit,Groceries,Silver Card
3.0,1/15/2018,American Tavern,64.11,debit,Restaurants,Silver Card
1.0,1/16/2018,City Water Charges,35.0,debit,Utilities,Checking
1.0,1/16/2018,Power Company,60.0,debit,Utilities,Checking
1.0,1/19/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2.0,1/20/2018,Amazon,50.21,debit,Shopping,Platinum Card
2.0,1/22/2018,Credit Card Payment,554.99,credit,Credit Card Payment,Platinum Card
3.0,1/22/2018,Credit Card Payment,309.81,credit,Credit Card Payment,Silver Card
1.0,1/22/2018,Credit Card Payment,554.99,debit,Credit Card Payment,Checking
3.0,1/22/2018,Home Depot Hardware,17.38,debit,Home Improvement,Silver Card
1.0,1/23/2018,Credit Card Payment,309.81,debit,Credit Card Payment,Checking
2.0,1/24/2018,Starbucks Coffee,3.0,debit,Coffee Shops,Platinum Card
1.0,1/25/2018,Internet Service Provider,69.99,debit,Internet,Checking
3.0,1/29/2018,Shell,30.42,debit,Gas & Fuel,Silver Card
3.0,1/29/2018,Thai Restaurant,25.0,debit,Restaurants,Silver Card
2.0,1/29/2018,Brunch Restaurant,17.62,debit,Restaurants,Platinum Card
2.0,2/1/2018,Grocery Store,27.79,debit,Groceries,Platinum Card
2.0,2/1/2018,Amazon,11.11,debit,Shopping,Platinum Card
1.0,2/2/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
1.0,2/2/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2.0,2/3/2018,Japanese Restaurant,57.02,debit,Restaurants,Platinum Card
2.0,2/4/2018,Netflix Subscription,11.76,debit,Movies & DVDs,Platinum Card
2.0,2/5/2018,Credit Card Payment,145.14,credit,Credit Card Payment,Platinum Card
3.0,2/6/2018,Credit Card Payment,154.13,credit,Credit Card Payment,Silver Card
1.0,2/7/2018,Credit Card Payment,154.13,debit,Credit Card Payment,Checking
1.0,2/7/2018,Gas Company,65.0,debit,Utilities,Checking
2.0,2/9/2018,Barbershop,30.0,debit,Haircut,Platinum Card
2.0,2/9/2018,Spotify,10.69,debit,Music,Platinum Card
2.0,2/10/2018,Bojangles,10.66,debit,Fast Food,Platinum Card
2.0,2/11/2018,Fancy Restaurant,106.8,debit,Restaurants,Platinum Card
3.0,2/12/2018,Shell,36.47,debit,Gas & Fuel,Silver Card
1.0,2/12/2018,Phone Company,89.52,debit,Mobile Phone,Checking
3.0,2/14/2018,Brewing Company,14.0,debit,Alcohol & Bars,Silver Card
2.0,2/15/2018,American Tavern,10.0,debit,Restaurants,Platinum Card
1.0,2/15/2018,Power Company,60.0,debit,Utilities,Checking
1.0,2/16/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
3.0,2/16/2018,Brunch Restaurant,8.0,debit,Restaurants,Silver Card
1.0,2/16/2018,City Water Charges,35.0,debit,Utilities,Checking
3.0,2/20/2018,Grocery Store,35.95,debit,Groceries,Silver Card
3.0,2/20/2018,Mexican Restaurant,23.51,debit,Restaurants,Silver Card
2.0,2/21/2018,Starbucks,2.0,debit,Coffee Shops,Platinum Card
3.0,2/22/2018,Starbucks,4.0,debit,Coffee Shops,Silver Card
2.0,2/26/2018,Credit Card Payment,765.37,credit,Credit Card Payment,Platinum Card
3.0,2/26/2018,Credit Card Payment,156.11,credit,Credit Card Payment,Silver Card
1.0,2/26/2018,Credit Card Payment,765.37,debit,Credit Card Payment,Checking
1.0,2/26/2018,Internet Service Provider,74.99,debit,Internet,Checking
3.0,2/26/2018,American Tavern,85.52,debit,Restaurants,Silver Card
3.0,2/26/2018,Gas Station,32.21,debit,Gas & Fuel,Silver Card
1.0,2/27/2018,Credit Card Payment,156.11,debit,Credit Card Payment,Checking
3.0,3/1/2018,Grocery Store,32.07,debit,Groceries,Silver Card
2.0,3/1/2018,Amazon,13.13,debit,Shopping,Platinum Card
1.0,3/2/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
1.0,3/2/2018,TechCorp Salary,2000.0,credit,Paycheck,Checking
3.0,3/3/2018,Whole Foods Market,23.74,debit,Groceries,Silver Card
2.0,3/4/2018,Grocery Store,10.69,debit,Groceries,Platinum Card
2.0,3/4/2018,Netflix Subscription,11.76,debit,Movies & DVDs,Platinum Card
2.0,3/4/2018,BBQ Restaurant,42.24,debit,Restaurants,Platinum Card
2.0,3/5/2018,Starbucks,3.0,debit,Coffee Shops,Platinum Card
3.0,3/5/2018,Credit Card Payment,761.59,credit,Credit Card Payment,Silver Card
1.0,3/5/2018,Credit Card Payment,761.59,debit,Credit Card Payment,Checking
2.0,3/7/2018,Starbucks Coffee,3.5,debit,Coffee Shops,Platinum Card
2.0,3/8/2018,BP,34.9,debit,Gas & Fuel,Platinum Card
1.0,3/8/2018,Gas Company,52.0,debit,Utilities,Checking
2.0,3/9/2018,Whole Foods Market,20.72,debit,Groceries,Platinum Card
2.0,3/9/2018,Grocery Store,5.09,debit,Groceries,Platinum Card
2.0,3/9/2018,Spotify,10.69,debit,Music,Platinum Card
2.0,3/12/2018,Grocery Store,19.35,debit,Groceries,Platinum Card
1.0,3/12/2018,Phone Company,89.52,debit,Mobile Phone,Checking
2.0,3/13/2018,Amazon,45.75,debit,Shopping,Platinum Card
2.0,3/14/2018,Whole Foods Market,22.5,debit,Groceries,Platinum Card
2.0,3/14/2018,Brunch Restaurant,8.49,debit,Restaurants,Platinum Card
2.0,3/15/2018,Starbucks,3.5,debit,Coffee Shops,Platinum Card
1.0,3/15/2018,Power Company,60.0,debit,Utilities,Checking
1.0,3/16/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
3.0,3/17/2018,Brewing Company,19.5,debit,Alcohol & Bars,Silver Card
2.0,3/17/2018,Pizza Place,23.34,debit,Fast Food,Platinum Card
3.0,3/19/2018,Mediterranean Restaurant,36.48,debit,Restaurants,Silver Card
1.0,3/19/2018,City Water Charges,35.0,debit,Utilities,Checking
2.0,3/20/2018,Amazon,14.97,debit,Shopping,Platinum Card
3.0,3/22/2018,BP,30.55,debit,Gas & Fuel,Silver Card
2.0,3/23/2018,Credit Card Payment,559.91,credit,Credit Card Payment,Platinum Card
1.0,3/23/2018,Credit Card Payment,559.91,debit,Credit Card Payment,Checking
3.0,3/23/2018,Grocery Store,11.76,debit,Groceries,Silver Card
1.0,3/26/2018,Internet Service Provider,74.99,debit,Internet,Checking
3.0,3/28/2018,Grocery Store,16.06,debit,Groceries,Silver Card
3.0,3/28/2018,Pizza Place,24.98,debit,Restaurants,Silver Card
3.0,3/29/2018,Steakhouse,17.64,debit,Restaurants,Silver Card
3.0,3/30/2018,Grocery Store,9.09,debit,Groceries,Silver Card
1.0,3/30/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2.0,3/31/2018,Belgian Restaurant,38.32,debit,Restaurants,Platinum Card
2.0,3/31/2018,Chili's,24.74,debit,Restaurants,Platinum Card
3.0,3/31/2018,Greek Restaurant,41.16,debit,Restaurants,Silver Card
2.0,4/1/2018,Grocery Store,80.79,debit,Groceries,Platinum Card
2.0,4/1/2018,Brewing Company,59.48,debit,Restaurants,Platinum Card
2.0,4/1/2018,Amazon,13.13,debit,Shopping,Platinum Card
3.0,4/2/2018,Credit Card Payment,817.14,credit,Credit Card Payment,Silver Card
1.0,4/2/2018,Credit Card Payment,817.14,debit,Credit Card Payment,Checking
2.0,4/2/2018,Whole Foods Market,82.36,debit,Groceries,Platinum Card
2.0,4/2/2018,Hardware Store,13.89,debit,Home Improvement,Platinum Card
1.0,4/2/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
2.0,4/3/2018,Amazon Video,6.41,debit,Movies & DVDs,Platinum Card
2.0,4/4/2018,Credit Card Payment,363.08,credit,Credit Card Payment,Platinum Card
1.0,4/4/2018,Credit Card Payment,363.08,debit,Credit Card Payment,Checking
2.0,4/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card
2.0,4/6/2018,Chevron,4.58,debit,Gas & Fuel,Platinum Card
2.0,4/6/2018,Tiny Deli,9.76,debit,Restaurants,Platinum Card
2.0,4/8/2018,Irish Pub,22.0,debit,Restaurants,Platinum Card
3.0,4/9/2018,Blue Sky Market,6.48,debit,Groceries,Silver Card
2.0,4/9/2018,Spotify,10.69,debit,Music,Platinum Card
1.0,4/9/2018,Gas Company,30.0,debit,Utilities,Checking
1.0,4/11/2018,Phone Company,89.52,debit,Mobile Phone,Checking
2.0,4/12/2018,Starbucks Coffee,7.0,debit,Coffee Shops,Platinum Card
2.0,4/12/2018,Barbershop,30.0,debit,Haircut,Platinum Card
2.0,4/13/2018,BP,37.98,debit,Gas & Fuel,Platinum Card
1.0,4/13/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2.0,4/13/2018,American Tavern,10.66,debit,Restaurants,Platinum Card
2.0,4/14/2018,Home Depot Hardware,11.61,debit,Home Improvement,Platinum Card
2.0,4/14/2018,American Tavern,41.0,debit,Restaurants,Platinum Card
1.0,4/16/2018,State Farm,75.0,debit,Auto Insurance,Checking
1.0,4/16/2018,City Water Charges,35.0,debit,Utilities,Checking
1.0,4/18/2018,Power Company,60.0,debit,Utilities,Checking
3.0,4/20/2018,Thai Restaurant,24.22,debit,Restaurants,Silver Card
3.0,4/21/2018,Whole Foods Market,4.32,debit,Groceries,Silver Card
3.0,4/21/2018,American Tavern,35.15,debit,Restaurants,Silver Card
2.0,4/22/2018,Whole Foods Market,21.32,debit,Groceries,Platinum Card
3.0,4/23/2018,Home Depot Hardware,42.7,debit,Home Improvement,Silver Card
2.0,4/24/2018,Home Depot Hardware,224.7,debit,Home Improvement,Platinum Card
2.0,4/24/2018,Amazon,41.34,debit,Shopping,Platinum Card
3.0,4/25/2018,Home Depot Hardware,210.79,debit,Home Improvement,Silver Card
1.0,4/25/2018,Internet Service Provider,74.99,debit,Internet,Checking
3.0,4/26/2018,Credit Card Payment,769.72,credit,Credit Card Payment,Silver Card
2.0,4/26/2018,Credit Card Payment,1216.94,credit,Credit Card Payment,Platinum Card
1.0,4/26/2018,Credit Card Payment,1216.94,debit,Credit Card Payment,Checking
1.0,4/27/2018,Credit Card Payment,769.72,debit,Credit Card Payment,Checking
1.0,4/27/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
3.0,4/28/2018,Grocery Store,22.98,debit,Groceries,Silver Card
2.0,4/29/2018,QuikTrip,39.0,debit,Gas & Fuel,Platinum Card
2.0,4/29/2018,Whole Foods Market,51.05,debit,Groceries,Platinum Card
2.0,4/29/2018,Hardware Store,68.47,debit,Home Improvement,Platinum Card
2.0,4/30/2018,Whole Foods Market,5.09,debit,Groceries,Platinum Card
2.0,5/1/2018,Amazon,13.13,debit,Shopping,Platinum Card
1.0,5/2/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
2.0,5/3/2018,Amazon,49.72,debit,Shopping,Platinum Card
2.0,5/4/2018,Grocery Store,42.23,debit,Groceries,Platinum Card
2.0,5/4/2018,Netflix Subscription,11.76,debit,Movies & DVDs,Platinum Card
2.0,5/5/2018,Bojangles,7.27,debit,Fast Food,Platinum Card
2.0,5/5/2018,Pizza Place,20.52,debit,Fast Food,Platinum Card
2.0,5/6/2018,Hardware Store,22.37,debit,Home Improvement,Platinum Card
2.0,5/6/2018,Amazon,117.69,debit,Shopping,Platinum Card
2.0,5/9/2018,Credit Card Payment,601.4,credit,Credit Card Payment,Platinum Card
1.0,5/9/2018,Credit Card Payment,601.4,debit,Credit Card Payment,Checking
2.0,5/9/2018,Spotify,10.69,debit,Music,Platinum Card
1.0,5/9/2018,Gas Company,30.0,debit,Utilities,Checking
1.0,5/10/2018,Phone Company,111.18,debit,Mobile Phone,Checking
2.0,5/11/2018,Whole Foods Market,57.32,debit,Groceries,Platinum Card
1.0,5/11/2018,TechCorp Salary,2000.0,credit,Paycheck,Checking
1.0,5/11/2018,Mike's Construction Co.,8000.0,debit,Home Improvement,Checking
2.0,5/12/2018,Liquor Store,27.77,debit,Alcohol & Bars,Platinum Card
2.0,5/12/2018,Shell,33.3,debit,Gas & Fuel,Platinum Card
2.0,5/12/2018,Fancy Restaurant,78.0,debit,Restaurants,Platinum Card
3.0,5/14/2018,Grocery Store,67.63,debit,Groceries,Silver Card
1.0,5/15/2018,Power Company,60.0,debit,Utilities,Checking
3.0,5/17/2018,Barbershop,29.0,debit,Haircut,Silver Card
1.0,5/17/2018,City Water Charges,35.0,debit,Utilities,Checking
1.0,5/18/2018,State Farm,75.0,debit,Auto Insurance,Checking
2.0,5/18/2018,Amazon,6.41,debit,Shopping,Platinum Card
