Date,Description,Amount,Transaction_Type,Category
2022-01-01,Salary Credit,91907.0,CREDIT,Salary
2022-01-01,Zomato,677.0,DEBIT,Restaurants
2022-01-01,Uber Ride,367.0,DEBIT,Transport
2022-01-01,HP Petrol Pump,260.0,DEBIT,Transport
2022-01-01,Auto Rickshaw,282.0,DEBIT,Transport
2022-01-01,DMart,354.0,DEBIT,Groceries
2022-01-02,Landlord Transfer,22277.0,DEBIT,Rent
2022-01-02,Milk Subscription,393.0,DEBIT,Groceries
2022-01-02,Blinkit,1102.0,DEBIT,Groceries
2022-01-02,Third Wave Coffee,452.0,DEBIT,Coffee Shops
2022-01-02,Cafe Coffee Day,196.0,DEBIT,Coffee Shops
2022-01-02,Swiggy,576.0,DEBIT,Restaurants
2022-01-02,Indian Oil,221.0,DEBIT,Transport
2022-01-03,Subway,867.0,DEBIT,Restaurants
2022-01-03,Myntra,2388.0,DEBIT,Shopping
2022-01-03,Zepto,872.0,DEBIT,Groceries
2022-01-03,Amazon Fresh,870.0,DEBIT,Groceries
2022-01-03,Ola Cab,384.0,DEBIT,Transport
2022-01-04,Croma,2041.0,DEBIT,Shopping
2022-01-04,Steam Game,607.0,DEBIT,Entertainment
2022-01-04,IKEA India,3622.0,DEBIT,Shopping
2022-01-04,RedBus,2670.0,DEBIT,Travel
2022-01-04,BEST Bus Ticket,324.0,DEBIT,Transport
2022-01-04,Ola Cab,169.0,DEBIT,Transport
2022-01-05,Subway,935.0,DEBIT,Restaurants
2022-01-05,Groww SIP,6582.0,DEBIT,Investment
2022-01-05,Milk Subscription,95.0,DEBIT,Groceries
2022-01-05,DMart,931.0,DEBIT,Groceries
2022-01-05,Auto Rickshaw,123.0,DEBIT,Transport
2022-01-05,Health Insurance Premium,2028.0,DEBIT,Medical
2022-01-05,BEST Bus Ticket,399.0,DEBIT,Transport
2022-01-05,HP Petrol Pump,422.0,DEBIT,Transport
2022-01-06,Dinner out,1049.0,DEBIT,Restaurants
2022-01-06,Indian Oil,556.0,DEBIT,Transport
2022-01-06,Zomato,484.0,DEBIT,Restaurants
2022-01-06,BookMyShow,659.0,DEBIT,Entertainment
2022-01-06,Amazon Fresh,1110.0,DEBIT,Groceries
2022-01-06,Auto Rickshaw,111.0,DEBIT,Transport
2022-01-06,Subway,768.0,DEBIT,Restaurants
2022-01-07,Blue Tokai,380.0,DEBIT,Coffee Shops
2022-01-07,McDonalds,1224.0,DEBIT,Restaurants
2022-01-07,Indian Oil,386.0,DEBIT,Transport
2022-01-07,IRCTC,164.0,DEBIT,Transport
2022-01-07,Milk Subscription,345.0,DEBIT,Groceries
2022-01-07,HP Petrol Pump,266.0,DEBIT,Transport
2022-01-07,Credit Card Bill,9754.0,DEBIT,EMI
2022-01-07,Subway,271.0,DEBIT,Restaurants
2022-01-08,Dinner out,1110.0,DEBIT,Restaurants
2022-01-08,Mumbai Metro,524.0,DEBIT,Transport
2022-01-08,Indian Oil,66.0,DEBIT,Transport
2022-01-08,Indian Oil,70.0,DEBIT,Transport
2022-01-09,Mumbai Metro,333.0,DEBIT,Transport
2022-01-09,Electricity Board,1235.0,DEBIT,Utilities
2022-01-09,McDonalds,1586.0,DEBIT,Restaurants
2022-01-09,Amazon Fresh,1142.0,DEBIT,Groceries
2022-01-09,IndiGo Airlines,5350.0,DEBIT,Travel
2022-01-09,Blinkit,1188.0,DEBIT,Groceries
2022-01-10,Dinner out,940.0,DEBIT,Restaurants
2022-01-10,Auto Rickshaw,442.0,DEBIT,Transport
2022-01-10,BigBasket,819.0,DEBIT,Groceries
2022-01-10,DMart,81.0,DEBIT,Groceries
2022-01-10,IRCTC Cancellation,514.0,CREDIT,Refund
2022-01-11,Ola Cab,523.0,DEBIT,Transport
2022-01-11,Dinner out,1669.0,DEBIT,Restaurants
2022-01-11,Burger King,1684.0,DEBIT,Restaurants
2022-01-11,Starbucks,394.0,DEBIT,Coffee Shops
2022-01-11,Health Insurance Premium,1888.0,DEBIT,Medical
2022-01-12,BookMyShow,343.0,DEBIT,Entertainment
2022-01-12,Adani Electricity,1119.0,DEBIT,Utilities
2022-01-12,Apollo Pharmacy,1910.0,DEBIT,Medical
2022-01-12,Zepto,1049.0,DEBIT,Groceries
2022-01-13,Indian Oil,255.0,DEBIT,Transport
2022-01-13,Indian Oil,97.0,DEBIT,Transport
2022-01-13,JioCinema,412.0,DEBIT,Entertainment
2022-01-13,BigBasket,1148.0,DEBIT,Groceries
2022-01-13,Decathlon,1195.0,DEBIT,Shopping
2022-01-14,PVR Cinemas,778.0,DEBIT,Entertainment
2022-01-14,IRCTC,99.0,DEBIT,Transport
2022-01-14,HP Petrol Pump,536.0,DEBIT,Transport
2022-01-14,Subway,1540.0,DEBIT,Restaurants
2022-01-14,Spotify Premium,571.0,DEBIT,Entertainment
2022-01-14,Blinkit,496.0,DEBIT,Groceries
2022-01-14,BEST Bus Ticket,547.0,DEBIT,Transport
2022-01-15,Gym Subscription,947.0,DEBIT,Miscellaneous
2022-01-15,Mumbai Metro,191.0,DEBIT,Transport
2022-01-15,Swiggy,326.0,DEBIT,Restaurants
2022-01-15,BigBasket,717.0,DEBIT,Groceries
2022-01-15,Mumbai Metro,91.0,DEBIT,Transport
2022-01-16,McDonalds,712.0,DEBIT,Restaurants
2022-01-16,Office Canteen Coffee,292.0,DEBIT,Coffee Shops
2022-01-16,Mumbai Metro,519.0,DEBIT,Transport
2022-01-16,Airtel Postpaid,1764.0,DEBIT,Utilities
2022-01-16,Adani Electricity,1605.0,DEBIT,Utilities
2022-01-17,Ola Cab,456.0,DEBIT,Transport
2022-01-17,Spotify Premium,180.0,DEBIT,Entertainment
2022-01-17,IRCTC,179.0,DEBIT,Transport
2022-01-17,Decathlon,2736.0,DEBIT,Shopping
